feature,coefficient,abs_coeff
pred_target_3d,0.9408182504775564,0.9408182504775564
macd,-0.2967857173411471,0.2967857173411471
pred_target_2d,-0.2658013613906356,0.2658013613906356
rsi_14,0.2242847700486815,0.2242847700486815
pred_target_1d,0.16740524747076255,0.16740524747076255
return_5d,-0.1294998264004039,0.1294998264004039
price_over_ma_20,0.07477256812695968,0.07477256812695968
volatility_std_20d,0.045476277501604725,0.045476277501604725
pred_target_1w,0.04185314756150694,0.04185314756150694
pred_target_5d,0.04185314756150694,0.04185314756150694
volume_ma_10,0.031624666420366446,0.031624666420366446
return_1d,-0.018163596683771033,0.018163596683771033
