feature,mean_shift
poly_volume_ma_10^2,241923864596786.5
poly_ma_10 volume_ma_10,1457133717.4113998
poly_ma_20 volume_ma_10,1453313989.1337337
obv,474163938.6831275
poly_rsi_14 volume_ma_10,387508452.67921543
poly_macd volume_ma_10,21530089.7704817
volume_ma_50,4538520.600823045
volume_ma_20,3570677.2016460896
poly_volume_ma_10,2908982.386831276
volume_ma_10,2908982.386831276
volume_ma_5,2526993.415637858
volume,1955926.748971194
poly_return_5d volume_ma_10,109181.2099433766
poly_return_1d volume_ma_10,42851.86095103019
poly_ma_20^2,12364.70976524843
poly_ma_10 ma_20,12359.875955612322
poly_ma_10^2,12356.9717006205
poly_volatility_std_20d volume_ma_10,8947.088830155903
poly_ma_20 rsi_14,907.4014264712332
poly_ma_10 rsi_14,893.0587981409062
poly_rsi_14^2,569.0367080001629
poly_ma_10 macd,73.7500099547359
poly_ma_20 macd,71.79299229844014
ma_20,33.17055939725395
poly_ma_20,33.17055939725395
high,33.02814822726779
poly_ma_10,32.96150184913921
ma_10,32.96150184913921
ma_5,32.83919325463572
open,32.816295262717404
close,32.67106970641839
low,32.35275739504968
ma_50,32.352492870440756
ma_100,30.474722315156384
ma_200,30.386692044293426
rsi_14,5.085927194017039
poly_rsi_14,5.085927194017039
poly_macd rsi_14,3.2688874719234917
poly_macd^2,3.1666658294075027
scaled_ma_200,1.1048160257114732
scaled_ma_100,1.0502304010089398
scaled_ma_50,1.0438320897484468
scaled_open,0.9610945859979945
scaled_poly_ma_10^2,0.9146273343627979
scaled_poly_ma_10,0.8674544261641587
atr_14,0.786937244915388
momentum_20d,0.6860904772095227
poly_ma_10 volatility_std_20d,0.603296177794395
poly_ma_20 volatility_std_20d,0.5957606629040386
scaled_obv,0.5880710174936754
momentum_10d,0.5595883969907407
scaled_atr_14,0.5191359738281405
scaled_poly_ma_10 volume_ma_10,0.49421100714957467
scaled_poly_ma_20 volume_ma_10,0.455120597971401
scaled_poly_ma_10 volatility_std_20d,0.43065258198339035
momentum_5d,0.33234578199347353
poly_return_5d ma_10,0.3162335533332489
scaled_volatility_ratio_20_50,0.31380519052522643
poly_return_5d ma_20,0.30760080243618193
scaled_volume_ma_50,0.29020664122371703
scaled_rsi_14,0.2803604795734075
scaled_poly_rsi_14 volume_ma_10,0.278147002101764
scaled_stoch_d,0.2656751390510317
scaled_stoch_k,0.25588323513045097
macd_signal,0.23894157414176553
poly_return_5d rsi_14,0.22226617073071764
scaled_poly_ma_10 rsi_14,0.20780136631278914
scaled_poly_macd^2,0.20587029297300355
scaled_volume_ma_20,0.20534025615855456
scaled_ma_100_slope,0.19392591508598772
scaled_poly_macd volatility_std_20d,0.16134513170093942
scaled_volume_ma_10,0.15357206603302598
macd_hist,0.13845347079649972
scaled_ma_200_slope,0.13268295499775468
scaled_macd_hist,0.13086025051999636
scaled_price_over_ma_20,0.12085134320105087
scaled_volume_ma_5,0.11920304056967138
scaled_rolling_cum_return_20d,0.11685495290845467
scaled_poly_return_5d rsi_14,0.10822781033630441
scaled_ma_50_slope,0.10367817801405207
macd,0.10048810334526603
poly_macd,0.10048810334526603
scaled_return_10d,0.10038672392604742
scaled_volatility_std_50d,0.1000628569869575
scaled_volume_over_ma_50,0.0982680254933243
scaled_lag_return_10d,0.09356528397545308
scaled_volatility_ratio_10_20,0.09271684497272291
poly_return_1d ma_10,0.09250750216963968
scaled_price_over_ma_10,0.09194789287456884
poly_return_1d ma_20,0.09088900417731088
scaled_volatility_std_10d,0.09040539006657994
scaled_poly_macd volume_ma_10,0.08541699086894539
scaled_volume_over_ma_20,0.08497696650115154
stoch_k,0.08165837257668729
stoch_d,0.07899046932077114
scaled_return_5d,0.07622991422197498
scaled_macd_signal,0.07513253313346879
scaled_volatility_std_20d,0.07498721163892125
scaled_price_over_ma_5,0.0739098221940157
scaled_return_3d,0.07145136009708201
scaled_volume,0.0705755087047546
ma_5_slope,0.06646915639869463
scaled_lag_return_5d,0.06512829525475941
volatility_ratio_20_50,0.06196243242948718
scaled_return_2d,0.05940728507578115
scaled_volume_over_ma_10,0.05781542239631739
ma_100_slope,0.05764443731111736
scaled_lag_return_3d,0.057151249049686006
scaled_lag_return_2d,0.05616112909473614
ma_10_slope,0.055958839699073976
scaled_poly_return_1d rsi_14,0.0513287161592308
scaled_price_over_ma_50,0.05027006611895371
scaled_volume_over_ma_5,0.047483631627326814
poly_return_1d rsi_14,0.046571039861365696
scaled_return_1d,0.04514451047187983
ma_50_slope,0.044544022171585734
scaled_lag_return_1d,0.039893472454164136
scaled_poly_volatility_std_20d^2,0.03967877878117748
scaled_poly_return_5d macd,0.0371783341209488
volume_over_ma_50,0.036979841506564415
scaled_poly_return_5d volume_ma_10,0.035251404142959686
ma_20_slope,0.034304523860476055
volume_over_ma_20,0.03056664586326041
scaled_poly_return_1d volume_ma_10,0.030025384127624524
scaled_macd,0.0294886330256319
scaled_poly_return_1d^2,0.026242883061283598
scaled_price_over_ma_100,0.023853170724027928
scaled_poly_return_1d return_5d,0.022951347612657907
ma_200_slope,0.022816045627672518
volatility_ratio_10_20,0.020590631019878902
scaled_price_over_ma_200,0.020002856016734183
scaled_poly_rsi_14 volatility_std_20d,0.019828680246954
volume_over_ma_10,0.017917949092469576
scaled_poly_macd rsi_14,0.016730483677181524
scaled_poly_return_5d^2,0.012856105150504227
poly_macd volatility_std_20d,0.012045031466094619
volume_over_ma_5,0.011877823058990988
scaled_poly_volatility_std_20d volume_ma_10,0.011057495042476495
scaled_poly_return_5d volatility_std_20d,0.011031042374739182
scaled_poly_return_1d macd,0.009996607012603112
poly_rsi_14 volatility_std_20d,0.008895530716378386
rolling_cum_return_20d,0.008475413693342728
scaled_poly_return_1d volatility_std_20d,0.008228478314337699
poly_return_5d macd,0.006505588742203625
return_10d,0.005497789610693223
rolling_cum_return_10d,0.0054977896106932055
log_return_10d,0.005384276020531978
lag_return_10d,0.005128800321687738
price_over_ma_20,0.004947147175108801
price_over_ma_50,0.0033446845104070366
log_return_5d,0.003085949253960391
return_1w,0.0030720768801709456
return_5d,0.0030720768801709456
poly_return_5d,0.0030720768801709456
rolling_cum_return_5d,0.0030720768801709413
price_over_ma_10,0.0027219222168477497
lag_return_5d,0.0026272331988301144
price_over_ma_100,0.002363724147848467
log_return_3d,0.002318375136713646
return_3d,0.0022737723263264913
price_over_ma_200,0.0021921345173201434
lag_return_3d,0.0018215321268486196
log_return_2d,0.0015703109619536562
return_2d,0.0015391936426593705
price_over_ma_5,0.0014786379785176607
lag_return_2d,0.0014568472223902128
log_return_1d,0.0008329901245716446
poly_return_1d macd,0.0008304796616481307
return_1d,0.0008202358471734129
poly_return_1d,0.0008202358471734129
volatility_std_10d,0.0007523351522770866
lag_return_1d,0.0007250201745073037
volatility_std_50d,0.0006062660550357254
volatility_std_20d,0.0005409137565715524
poly_volatility_std_20d,0.0005409137565715524
poly_return_5d^2,4.010817708251734e-05
poly_return_1d^2,2.6369183184985482e-05
poly_return_1d return_5d,2.5604944350413983e-05
poly_volatility_std_20d^2,1.4786019816567065e-05
poly_return_5d volatility_std_20d,1.0391190032900199e-05
poly_return_1d volatility_std_20d,3.8094768896997983e-06
